,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,entities,sentiment_prediction
4588,4588,Curious to know what devs are thinking ref. iPhone vs Android development at #sxsw Buzz still seems to favour iPhone this year.,iPhone,2,"[{""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",1
4598,4598,Excited to meet the @mention at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,0,"[{""word"": ""ion"", ""entity"": ""I-group""}, {""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u0120Sprint"", ""entity"": ""B-product""}, {""word"": ""\u0120Galaxy"", ""entity"": ""I-product""}, {""word"": ""\u0120S"", ""entity"": ""I-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""1"", ""entity"": ""I-product""}]",2
4599,4599,Excited to meet the @mention team on the way to the apple store. Go download their app if you're in #sxsw!  {link},iPad or iPhone App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-group""}, {""word"": ""ment"", ""entity"": ""I-group""}, {""word"": ""ion"", ""entity"": ""I-group""}, {""word"": ""\u0120team"", ""entity"": ""I-group""}, {""word"": ""\u0120apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120store"", ""entity"": ""I-location""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}]",2
4601,4601,Great demo of #google maps from marissa Mayer. 3D views are amazing. More than 150m mobile users. #sxsw,Other Google product or service,2,"[{""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""google"", ""entity"": ""I-corporation""}, {""word"": ""\u0120maps"", ""entity"": ""I-product""}, {""word"": ""\u0120mar"", ""entity"": ""B-person""}, {""word"": ""issa"", ""entity"": ""I-person""}, {""word"": ""\u0120Mayer"", ""entity"": ""I-person""}]",2
4602,4602,iPhone too old for #SXSW schedule app. Oh noes.  #rejection,iPhone,0,"[{""word"": ""iPhone"", ""entity"": ""B-product""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",0
4603,4603,Pleased to see Josh Clark has featured a few @mention clients in his ipad design presentation.  #sxsw,iPad,2,"[{""word"": ""\u0120Josh"", ""entity"": ""B-person""}, {""word"": ""\u0120Clark"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}]",2
4604,4604,"Excited to see this! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,2,"[{""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}]",2
4605,4605,Anxious to see what Google has in store for #SXSW today.,Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4606,4606,"Be sure to stop by our SXSW booth today. Show me one of our games running on your iPad 2, you could get a free gift! #sxsw  #sxsw11",iPad,2,"[{""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}]",2
4608,4608,Excited to tell y'all about the wonders of android today at #sxsw! See you soon.,Android,2,"[{""word"": ""\u0120android"", ""entity"": ""B-product""}]",2
4610,4610,So went to the Apple Store (Kingston) as friends at #sxsw have new iPad's ... so got something to cheer myself up :) {link},iPad,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""King"", ""entity"": ""B-location""}, {""word"": ""ston"", ""entity"": ""I-location""}, {""word"": "")"", ""entity"": ""I-location""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
4614,4614,There's no way that you an call the iPad count at #sxsw reasonable. I think there's one for every 2 people.,iPad,0,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",1
4615,4615,Google two-factor auth is AWESOME when you're using public computers. Just used it at #SXSW {link},Google,2,"[{""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4618,4618,Fantastico! RT @mention Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,Google,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Mar"", ""entity"": ""I-person""}, {""word"": ""issa"", ""entity"": ""I-person""}, {""word"": ""\u0120Mayer"", ""entity"": ""I-person""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}]",2
4619,4619,Mine toooo! RT @mention My #iPad envy is through. the. roof. Thanks every other person at #SXSW,iPad,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""i"", ""entity"": ""B-product""}, {""word"": ""Pad"", ""entity"": ""I-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4620,4620,Umm. Hello!! What about Android?! RT @mention Awesome new version of @mention for iPhone and new web site coming after #sxsw.,Android,2,"[{""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
4621,4621,Found a road dawg to check out this iPad store #sxsw @mention,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""ion"", ""entity"": ""I-corporation""}]",1
4622,4622,Two iPad observations at #sxsw. Vast majority of people using them. Seen lots of 2s today. Looks nice. #appletakingoverworld,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u01202"", ""entity"": ""B-product""}, {""word"": ""app"", ""entity"": ""B-event""}, {""word"": ""let"", ""entity"": ""I-event""}, {""word"": ""aking"", ""entity"": ""I-event""}, {""word"": ""over"", ""entity"": ""I-event""}, {""word"": ""world"", ""entity"": ""I-event""}]",2
4626,4626,Apple autocorrect is so weird. Ogilvy autocorrects to idiocy. #ogilvynotes #sxsw :),Apple,0,"[{""word"": ""Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Og"", ""entity"": ""B-group""}]",1
4627,4627,"Sweet, good for you! @mention I have my #iPad 2 for Verizon. My life has just peaked. #SXSW",iPad,2,"[{""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""i"", ""entity"": ""I-product""}, {""word"": ""Pad"", ""entity"": ""I-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120Verizon"", ""entity"": ""B-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4628,4628,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
4630,4630,"#GoogleDoodle #sxsw Google Doodles, simple on the surface, complex and intricate underneath.",Other Google product or service,2,"[{""word"": ""Google"", ""entity"": ""B-product""}, {""word"": ""D"", ""entity"": ""I-product""}, {""word"": ""oodle"", ""entity"": ""I-product""}, {""word"": ""\u0120Google"", ""entity"": ""B-product""}, {""word"": ""\u0120D"", ""entity"": ""I-product""}, {""word"": ""ood"", ""entity"": ""I-product""}, {""word"": ""les"", ""entity"": ""I-product""}]",2
4631,4631,"Google doodle is kind of social agenda, reminding us of facts and events that belong to all of us. #sxsw #googledoodle",Other Google product or service,2,"[{""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120do"", ""entity"": ""I-product""}, {""word"": ""od"", ""entity"": ""I-product""}, {""word"": ""le"", ""entity"": ""I-product""}, {""word"": ""oodle"", ""entity"": ""I-product""}]",2
4633,4633,Google doodles always strive to respect and complement the original artwork. #GoogleDoodle #sxsw,Google,2,"[{""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""les"", ""entity"": ""I-product""}, {""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""D"", ""entity"": ""I-corporation""}, {""word"": ""oodle"", ""entity"": ""I-product""}]",2
4634,4634,"Google product showcases never feel that cool. No price tag, brand equity, wow factor attached. #sxsw marissa mayer",Google,0,"[{""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120mar"", ""entity"": ""B-person""}, {""word"": ""issa"", ""entity"": ""I-person""}, {""word"": ""\u0120may"", ""entity"": ""I-person""}, {""word"": ""er"", ""entity"": ""I-person""}]",0
4640,4640,Speaking of #sxsw: how about that #apple store on 6th and congress? Wouldn't it be great if it were permanent....? ;),Apple,2,"[{""word"": ""apple"", ""entity"": ""I-corporation""}, {""word"": ""\u01206"", ""entity"": ""B-location""}, {""word"": ""th"", ""entity"": ""I-location""}, {""word"": ""\u0120congress"", ""entity"": ""B-location""}]",2
4642,4642,"In honor of Apple's #SXSW pop-up shop, here are some thoughts on how landlords &amp; leasing agents can utilize pop-up shops. {link}",Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-event""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4646,4646,Cashmere of Mashable: Thinks the iPad 2 is not a huge step up. Now waiting for the Apple PR team to parachute into the #SXSW session.,iPad,0,"[{""word"": ""Cash"", ""entity"": ""B-person""}, {""word"": ""mere"", ""entity"": ""I-person""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",1
4655,4655,"For many of you that asked last night about the free Android phone... Sign up for urthots.com, then visit urthots.com/promo #sxswi #sxsw",Android,2,"[{""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120phone"", ""entity"": ""I-product""}, {""word"": ""\u0120ur"", ""entity"": ""B-corporation""}, {""word"": ""th"", ""entity"": ""I-corporation""}, {""word"": ""ots"", ""entity"": ""I-corporation""}, {""word"": ""."", ""entity"": ""I-corporation""}, {""word"": ""com"", ""entity"": ""I-corporation""}, {""word"": ""th"", ""entity"": ""I-corporation""}, {""word"": ""ots"", ""entity"": ""I-corporation""}, {""word"": ""."", ""entity"": ""I-corporation""}, {""word"": ""com"", ""entity"": ""I-corporation""}]",2
4656,4656,Aron Pilhofer of the New York Times and design guru Khoi Vinh express scepticism about iPad news apps at #SXSW {link},iPad or iPhone App,0,"[{""word"": ""A"", ""entity"": ""B-person""}, {""word"": ""ron"", ""entity"": ""I-person""}, {""word"": ""\u0120Pil"", ""entity"": ""I-person""}, {""word"": ""h"", ""entity"": ""I-person""}, {""word"": ""ofer"", ""entity"": ""I-person""}, {""word"": ""\u0120New"", ""entity"": ""B-corporation""}, {""word"": ""\u0120York"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Times"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Kh"", ""entity"": ""B-person""}, {""word"": ""oi"", ""entity"": ""I-person""}, {""word"": ""\u0120Vin"", ""entity"": ""I-person""}, {""word"": ""h"", ""entity"": ""I-person""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",1
4658,4658,Join actsofsharing.com tonight.  the person with the most friends in their city by end of #SXSW wins an iPad 2!!!,iPad,2,"[{""word"": ""so"", ""entity"": ""I-corporation""}, {""word"": ""f"", ""entity"": ""I-corporation""}, {""word"": ""sharing"", ""entity"": ""I-corporation""}, {""word"": ""."", ""entity"": ""I-corporation""}, {""word"": ""com"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}]",2
4663,4663,"Apple, Google AT&amp;T have a surplus of cash, brand loyalty/mobile leash and will make mobile payments easy #bankinnovation #sxsw",Apple,2,"[{""word"": ""Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120AT"", ""entity"": ""B-corporation""}, {""word"": ""&"", ""entity"": ""I-corporation""}, {""word"": ""amp"", ""entity"": ""I-corporation""}, {""word"": "";"", ""entity"": ""I-corporation""}, {""word"": ""T"", ""entity"": ""I-corporation""}]",2
4664,4664,I have Google Circles invites! Follow me if you are interested! #google #circles #sxsw,Other Google product or service,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Cir"", ""entity"": ""I-event""}, {""word"": ""cles"", ""entity"": ""I-corporation""}, {""word"": ""google"", ""entity"": ""B-corporation""}]",2
4673,4673,40% of Google map usage is mobile! Yowza #sxsw,Other Google product or service,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}]",2
4676,4676,"40% of Google Maps usage is mobile, now has 150 million mobile users. #sxsw (via @mention",Other Google product or service,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Maps"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}]",2
4678,4678,40% of Google Maps usage is Mobile.  wow. @mention #sxsw #myegc,Other Google product or service,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Maps"", ""entity"": ""I-corporation""}]",2
4685,4685,At the Google party...awesome.  #SXSW,Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120party"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4688,4688,#SXSW #Google Saving Drivers Time and Fuel {link} #seo #sem #googlemaps #mobile #topnews,Google,2,"[{""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""google"", ""entity"": ""B-corporation""}, {""word"": ""maps"", ""entity"": ""I-corporation""}]",2
4691,4691,Wow! - Google to launch new social network at SXSW? {link} #sxsw #google,Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""s"", ""entity"": ""B-event""}, {""word"": ""x"", ""entity"": ""I-event""}, {""word"": ""sw"", ""entity"": ""I-event""}, {""word"": ""google"", ""entity"": ""B-corporation""}]",2
4695,4695,"Apple, Google, Intel &amp; Others Get Going Gold for the Go Game  {link} #TheGoGame #SXSW",Google,2,"[{""word"": ""Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Intel"", ""entity"": ""B-corporation""}, {""word"": ""amp"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Go"", ""entity"": ""B-event""}, {""word"": ""The"", ""entity"": ""B-event""}, {""word"": ""Go"", ""entity"": ""I-event""}, {""word"": ""Game"", ""entity"": ""I-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4698,4698,Seeing Google's new maps for mobile with 3D buildings and super fast rendering over network. #sxsw,Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}]",2
4699,4699,@mention oh hey i remember that :) didn't even bring my laptop to #SXSW panels. iPad 4 life,iPad,2,"[{""word"": ""@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01204"", ""entity"": ""I-product""}]",2
4702,4702,Team Android at SXSW ��� full party details revealed! {link} #News #austin #sxsw #team_android,Android,2,"[{""word"": ""Team"", ""entity"": ""B-group""}, {""word"": ""\u0120Android"", ""entity"": ""I-corporation""}, {""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""a"", ""entity"": ""B-location""}, {""word"": ""ust"", ""entity"": ""I-location""}, {""word"": ""in"", ""entity"": ""I-location""}, {""word"": ""team"", ""entity"": ""B-group""}, {""word"": ""_"", ""entity"": ""I-group""}, {""word"": ""android"", ""entity"": ""I-group""}]",1
4703,4703,Team Android at SXSW ��� full party details revealed! {link} #sxsw,Android,2,"[{""word"": ""Team"", ""entity"": ""B-group""}, {""word"": ""\u0120Android"", ""entity"": ""I-corporation""}, {""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""s"", ""entity"": ""B-event""}, {""word"": ""x"", ""entity"": ""I-event""}, {""word"": ""sw"", ""entity"": ""I-event""}]",1
4707,4707,Team Android party at Lustre Pearl; so nice to be among my people!! #SXSW,Android,2,"[{""word"": ""Team"", ""entity"": ""B-group""}, {""word"": ""\u0120Android"", ""entity"": ""I-group""}, {""word"": ""\u0120Lust"", ""entity"": ""B-location""}, {""word"": ""re"", ""entity"": ""I-location""}, {""word"": ""\u0120Pearl"", ""entity"": ""I-location""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4710,4710,"Are you going to be at #SXSW and wish you could purchase an iPad 2?

Not to worry! - {link} 

Well played Apple. Well played.",iPad,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",2
4713,4713,When I look at crowd at #SXSW everyone has head down looking at iPad or phone. Only place where socially awkward is &quot;cool&quot;. :-/,iPad,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120phone"", ""entity"": ""B-product""}]",1
4714,4714,"Amazing joke on bad teeth picture... Just google British teeth on google, it's the first hit. @mention dude is killing it! #SXSW",Google,2,"[{""word"": ""\u0120British"", ""entity"": ""B-location""}, {""word"": ""\u0120google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4719,4719,Really cool shit #google is working on. #Google web fonts look hawt. #sxsw @mention,Google,2,"[{""word"": ""\u0120#"", ""entity"": ""B-corporation""}, {""word"": ""google"", ""entity"": ""B-corporation""}, {""word"": ""Google"", ""entity"": ""B-corporation""}]",2
4720,4720,Really COOL! RT @mention Stop by and let us make you a custom iPhone case! #zazzlesxsw #Sxsw #sxswi {link} {link},iPhone,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
4723,4723,Two year old shows us howmto use iPad #USDes #sxsw,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""US"", ""entity"": ""B-location""}, {""word"": ""Des"", ""entity"": ""I-location""}]",1
4734,4734,Scenes from the Austin SXSW iPad 2 pop-up shop -- here they are arriving! {link} #sxsw #cnnmoneysxsw,iPad,2,"[{""word"": ""\u0120Austin"", ""entity"": ""B-event""}, {""word"": ""\u0120SX"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}]",2
4739,4739,"There's something 2 b said that here at #SXSW, the gadgets of choice in every session r an iPad, MacbookPro, or a Blackberry. Nothing else.",iPad,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120Mac"", ""entity"": ""B-product""}, {""word"": ""book"", ""entity"": ""I-product""}, {""word"": ""Pro"", ""entity"": ""I-product""}, {""word"": ""\u0120Black"", ""entity"": ""B-product""}, {""word"": ""berry"", ""entity"": ""I-product""}]",2
4742,4742,#sxsw Recommendation Engine Session was  fantastic!  Thanks #google #pandora #YouTube #stumbledupon.,Google,2,"[{""word"": ""sw"", ""entity"": ""I-event""}, {""word"": ""ation"", ""entity"": ""I-event""}, {""word"": ""\u0120Engine"", ""entity"": ""I-event""}, {""word"": ""\u0120Session"", ""entity"": ""I-event""}, {""word"": ""google"", ""entity"": ""B-corporation""}, {""word"": ""p"", ""entity"": ""B-corporation""}, {""word"": ""and"", ""entity"": ""I-corporation""}, {""word"": ""ora"", ""entity"": ""I-corporation""}, {""word"": ""YouTube"", ""entity"": ""B-corporation""}]",2
4745,4745,"RT @mention 
  
The iPad 2 Takes Over #SXSW {link}",iPad,2,"[{""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120iPad"", ""entity"": ""I-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
4753,4753,"RT @mention  In our studies players tell us, &quot;Petting my iPhone makes me happy.&quot; #tapworthy #sxsw",iPhone,2,"[{""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
4754,4754,RT @mention  It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120downtown"", ""entity"": ""B-location""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}]",1
4759,4759,RT @mention : We interrupt your regularly scheduled #sxsw geek programming with big news {link} #google #circles,Other Google product or service,2,"[{""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""google"", ""entity"": ""B-corporation""}]",2
4761,4761,RT @mention :) RT @mention Love it. @mention at #sxsw: &quot;apple comes up w/ cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""apple"", ""entity"": ""B-corporation""}]",2
4765,4765,RT @mention ..only 9? #SXSW right-brain #mwrc11 left-brain?? :) RT @mention @mention at #SXSW 9 out of 10 attendees have Mac or iPad,iPad,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""I-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
